filename	deduplication_percentage	marker
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1_1	76.92029814747812	ENCODE_PE
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1_2	79.15921066277276	ENCODE_PE
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1_1	77.60775387550152	ENCODE_PE
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1_2	79.68451559826858	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1_1	76.51192733641639	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1_2	79.26632132412169	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1_1	76.90031240540644	ENCODE_PE
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1_2	79.67036348140991	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1_1	76.43745253808382	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1_2	80.37886304142569	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1_1	79.98621561325804	ENCODE_PE
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1_2	83.72829511775083	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1_1	79.3718461568054	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1_2	82.75175524176738	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1_1	77.34250392475333	ENCODE_PE
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1_2	81.41684910525483	ENCODE_PE
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1_1	77.86312359989344	ENCODE_PE
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1_2	85.80379874764778	ENCODE_PE
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1_1	78.33893799944252	ENCODE_PE
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1_2	85.18581507807419	ENCODE_PE
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1_1	80.03377887130002	ENCODE_PE
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1_2	82.07402305932116	ENCODE_PE
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1_1	73.57825330760002	ENCODE_PE
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1_2	76.14682526058641	ENCODE_PE
