file	total	written_reads	mapped	mapped_ratio	uniq_mapped	non-redundant_uniq_mapped	effect_ratio	fastqc_dedup	after_align_dedup	number_of_reads_under_peak	rup_ratio	sub10M_enrichment	coding_enrichment	bg_gt37_percentage
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	42278369	42205403	37619368	.88	34684686	29484004	.69	0.727755	.894	19521739	33.54	22.6639441625	20.363	1.92
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	47548519	47441840	42018502	.88	38882460	34674162	.72	0.74131	.926	26531546	38.90	24.0296829139	23.307	1.71
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	41466599	41374145	37299346	.89	33902845	28325095	.68	0.73354	.866	14217325	25.41	21.8871252957	16.352	5.71
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	86375299	86262555	77053580	.89	68757933	59958040	.69	0.77649	.902	17509677	14.72	18.6071140973	10.079	19.56
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	48785458	48721580	42856626	.87	37885873	33381304	.68	0.79414	.917	8507977	12.85	21.1573740291	10.230	24.69
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	52082703	52020779	46022940	.88	41382639	37651976	.72	0.82459	.929	10537988	14.11	18.7260665896	9.877	15.60
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	53078621	53016798	47022431	.88	42061841	37981895	.71	0.81573	.925	10870595	14.43	18.8727610686	10.371	17.39
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	44189469	44143368	38847551	.87	34913489	31201005	.70	0.802865	.929	10445542	16.90	21.6034637641	12.507	14.06
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	42364518	42320885	37247990	.87	33524222	30130906	.71	0.81093	.926	9714365	16.27	21.3206559006	12.218	12.65
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	44562754	44503775	43126223	.96	39513192	35589716	.79	0.80559	.929	13832437	19.62	20.8677901651	12.980	4.70
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	53140917	53076445	51680382	.97	47902342	42503912	.79	0.792975	.912	18226254	21.65	20.4024517471	13.759	4.33
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	40755321	40702577	39520163	.96	36053467	32703794	.80	0.827935	.921	10578270	16.33	18.9432996897	10.923	13.72
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	83791512	83623481	79408845	.94	70701654	56708509	.67	0.696115	.876	21745121	19.35	21.7519216943	12.592	6.18
mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	33110618	32993557	28779591	.86	25956442	23005136	.69	0.80671	.910	5582517	12.25	21.9509523008	9.893	17.25
mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	40555435	40478267	37830691	.93	34131453	30567582	.75	0.81775	.925	8241486	13.61	21.8419141811	10.514	17.76
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	57818671	57717558	53915360	.93	49250484	43779532	.75	0.78754	.917	19991810	23.08	20.5054012078	13.467	3.76
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	55554407	55445186	52017403	.93	47163023	41399704	.74	0.77385	.918	19152485	23.37	20.3905734352	13.700	5.00
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	58056975	57969328	54133110	.93	48894932	42042839	.72	0.739325	.925	22924141	27.58	21.2605239782	15.543	3.08
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	56463898	56375515	52613499	.93	47293717	39988984	.70	0.72808	.919	20450876	25.87	21.8806887595	15.097	4.23
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	49454428	49315611	45588521	.92	40607274	33428054	.67	0.719395	.877	14039879	21.35	23.29151898	13.834	8.09
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	44646781	44472672	41687544	.93	36297122	29283812	.65	0.70277	.888	11075294	19.19	25.2856378766	13.965	14.93
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	42044382	41943856	37155020	.88	33036148	29435350	.70	0.80048	.940	9665998	16.57	22.3300930786	11.847	13.75
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	49443834	49313630	44337605	.89	39224294	33940569	.68	0.770575	.922	11524018	17.13	22.2038893137	11.816	11.51
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	46776162	46451952	40090836	.85	35600252	31307038	.66	0.766955	.946	12996073	20.95	21.9711875755	13.608	8.61
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	38328988	38233783	33759632	.88	30109028	27068104	.70	0.81178	.933	7387587	13.77	21.7335337403	9.371	10.63
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	38505907	38157479	33716709	.87	29557972	25512900	.66	0.745345	.936	9791486	19.45	26.8673175025	15.243	16.64
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	68272995	68104215	64705257	.94	56293188	45636363	.66	0.708705	.890	13949719	15.45	25.5563333198	12.039	17.20
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	66315169	66200763	62768621	.94	54708666	41500628	.62	0.611055	.885	22730812	27.90	34.9173394588	21.120	6.75
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	48348502	48278973	45604423	.94	39508986	29029398	.60	0.6143	.863	13917025	24.35	33.8745805361	20.219	10.82
mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	33172338	33105842	31466991	.94	26963225	18086626	.54	0.547605	.802	9976016	28.25	42.2849735666	27.150	12.49
mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	75813558	75750644	68100858	.89	59178093	41661882	.54	0.533415	.848	29791854	36.86	41.8962503465	29.767	3.48
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	70091736	70002758	63043813	.89	54922006	38770759	.55	0.53586	.845	33781927	44.82	33.8442338024	30.147	1.98
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	54588699	54505754	49432581	.90	41772155	27940425	.51	0.534435	.820	19686721	36.18	34.1392378988	27.710	10.23
mm10_lung_embryo_d14.5_PE_bio1_ENCLB517ADM_1	50888369	50778867	45146112	.88	41334614	35156355	.69	0.736705	.893	18817043	27.06	20.437981271	15.399	2.65
mm10_lung_embryo_d14.5_PE_bio2_ENCLB224FWZ_1	27279932	27220000	23213529	.85	20855721	19055984	.69	0.822045	.951	6756760	17.93	23.2402001071	13.846	10.73
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	64152873	63929946	55003123	.85	48755445	41956630	.65	0.728695	.910	25407131	30.69	22.6615365646	16.859	7.03
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	51902255	51691411	44736344	.86	39678224	34186583	.65	0.72633	.917	22957608	34.08	24.1502452201	19.379	5.76
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	74018175	73774448	70108426	.94	62946399	55540864	.75	0.7804	.913	21038306	19.11	19.558197124	12.601	13.73
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	53219421	53050091	50232797	.94	44506281	39153186	.73	0.78646	.921	12159432	15.66	20.5504030311	11.504	18.95
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	55307973	55186118	52064727	.94	46848675	40912692	.73	0.77889	.908	16290012	20.10	19.8572711761	13.282	9.61
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	51449827	51343450	48438345	.94	43877034	38416307	.74	0.782855	.902	16097323	21.16	19.7827999631	13.931	9.16
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	60200454	60092417	47985234	.79	43882564	38786742	.64	0.78408	.919	16823898	21.92	22.8046315302	15.375	5.98
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	43550852	43467279	35063311	.80	31955516	29167169	.66	0.818575	.942	11462412	19.85	23.1046840333	14.903	9.55
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	52300091	52200488	42616823	.81	38963822	35224529	.67	0.81062	.931	13615822	19.52	21.6061603839	13.702	5.47
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	37376936	37305349	29656776	.79	26790046	23533183	.62	0.793795	.914	8906754	19.13	24.0210472396	14.899	11.41
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	47681374	47581941	37245195	.78	34708253	29174743	.61	0.818335	.847	11939178	20.68	21.5111606851	14.853	6.21
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	42220415	42127992	33657329	.79	30315764	25556012	.60	0.817625	.859	6253410	12.33	22.7085958168	10.777	20.70
mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	23793505	23702135	22003794	.92	19284676	18018901	.75	0.849335	.962	3212797	8.99	26.2573963007	8.636	30.84
mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	33450811	33323334	30686415	.91	27326299	25352637	.75	0.833615	.961	7623352	15.18	22.6578661128	11.370	15.30
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	63001963	62694135	59717100	.94	53112472	48229642	.76	0.81054	.936	14494905	15.17	20.220113722	8.951	8.43
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	55360933	55080262	51545821	.93	44697651	38802095	.70	0.748625	.943	15620956	20.35	24.6237095422	13.165	10.39
