bin_seq	mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	mm10_lung_embryo_d14.5_PE_bio1_ENCLB517ADM_1	mm10_lung_embryo_d14.5_PE_bio2_ENCLB224FWZ_1	mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1
11	0.723849372385	0.771812080537	0.72	0.878627968338	0.655864197531	0.627737226277	0.764478764479	0.515113350126	0.70154373928	0.653902798233	0.589261744966	0.509546539379	0.459016393443	0.591780821918	0.748560460653	0.792	0.759299781182	0.789247311828	0.834422657952	0.825688073394	0.725080385852	0.649717514124	0.731343283582	0.663793103448	0.859598853868	0.847150259067	0.622462787551	0.615803814714	0.556103575832	0.559789750329	0.528368794326	0.607802874743	0.802681992337	0.73594548552	0.694285714286	0.758	0.669030732861	0.68779342723	0.639484978541	0.640102827763	0.671140939597	0.669703872437	0.541496598639	0.6	0.571065989848	0.857142857143	0.442013129103	0.470857142857	0.767796610169	0.775109170306	0.727731092437	0.730392156863	0.73434856176	0.815053763441	0.75499092559	0.816037735849	0.808193668529	0.901587301587	0.869918699187	0.864142538976	0.512038523274	0.618980169972
12	0.734309623431	0.731543624161	0.721818181818	0.852242744063	0.623456790123	0.588321167883	0.77027027027	0.508816120907	0.648370497427	0.59941089838	0.524832214765	0.468973747017	0.400614754098	0.582191780822	0.74472168906	0.765333333333	0.768052516411	0.756989247312	0.786492374728	0.837155963303	0.709003215434	0.622881355932	0.708955223881	0.623563218391	0.839541547278	0.852331606218	0.554803788904	0.588555858311	0.485819975339	0.487516425756	0.547872340426	0.622176591376	0.718390804598	0.722316865417	0.622857142857	0.72	0.643026004728	0.664319248826	0.583690987124	0.609254498715	0.691275167785	0.671981776765	0.495238095238	0.619298245614	0.515228426396	0.801452784504	0.432166301969	0.44	0.713559322034	0.75327510917	0.690756302521	0.704248366013	0.710659898477	0.821505376344	0.729582577132	0.823113207547	0.821229050279	0.847619047619	0.845528455285	0.824053452116	0.507223113965	0.603399433428
13	0.753138075314	0.713646532438	0.663636363636	0.828496042216	0.570987654321	0.578102189781	0.685328185328	0.468513853904	0.658662092624	0.516936671576	0.503355704698	0.465393794749	0.342213114754	0.483561643836	0.731285988484	0.784	0.770240700219	0.756989247312	0.821350762527	0.79128440367	0.681672025723	0.58615819209	0.662313432836	0.58908045977	0.828080229226	0.849740932642	0.537212449256	0.540871934605	0.462392108508	0.458607095926	0.519503546099	0.546201232033	0.727969348659	0.689948892675	0.595714285714	0.714	0.583924349882	0.600938967136	0.624463519313	0.598971722365	0.661073825503	0.605922551253	0.462585034014	0.608771929825	0.502538071066	0.738498789346	0.361050328228	0.394285714286	0.683050847458	0.744541484716	0.697478991597	0.673202614379	0.712351945854	0.817204301075	0.751361161525	0.775943396226	0.793296089385	0.863492063492	0.817073170732	0.797327394209	0.52808988764	0.535410764873
14	0.715481171548	0.718120805369	0.630909090909	0.778364116095	0.515432098765	0.531386861314	0.706563706564	0.434508816121	0.567753001715	0.503681885125	0.444295302013	0.359188544153	0.297131147541	0.452054794521	0.710172744722	0.8	0.719912472648	0.718279569892	0.749455337691	0.779816513761	0.633440514469	0.540960451977	0.682835820896	0.551724137931	0.830945558739	0.867875647668	0.489851150203	0.525885558583	0.401972872996	0.438896189225	0.480496453901	0.507186858316	0.691570881226	0.66269165247	0.572857142857	0.682	0.600472813239	0.657276995305	0.547210300429	0.627249357326	0.640939597315	0.571753986333	0.440816326531	0.514035087719	0.43654822335	0.73607748184	0.332603938731	0.370285714286	0.652542372881	0.720524017467	0.638655462185	0.640522875817	0.626057529611	0.735483870968	0.662431941924	0.783018867925	0.772811918063	0.831746031746	0.829268292683	0.786191536748	0.468699839486	0.467422096317
15	0.669456066946	0.700223713647	0.592727272727	0.746701846966	0.481481481481	0.480291970803	0.642857142857	0.396725440806	0.586620926244	0.478645066274	0.379865771812	0.369928400955	0.259221311475	0.457534246575	0.658349328215	0.746666666667	0.669584245077	0.694623655914	0.758169934641	0.759174311927	0.575562700965	0.492937853107	0.583955223881	0.492816091954	0.767908309456	0.805699481865	0.466847090663	0.505449591281	0.400739827374	0.417871222076	0.489361702128	0.482546201232	0.645593869732	0.621805792164	0.522857142857	0.648	0.602836879433	0.605633802817	0.583690987124	0.619537275064	0.701342281879	0.592255125285	0.387755102041	0.477192982456	0.408629441624	0.71186440678	0.31181619256	0.339428571429	0.608474576271	0.729257641921	0.618487394958	0.604575163399	0.615905245347	0.74623655914	0.65335753176	0.731132075472	0.733705772812	0.84126984127	0.821138211382	0.73719376392	0.446227929374	0.439093484419
16	0.627615062762	0.697986577181	0.567272727273	0.77308707124	0.46450617284	0.43795620438	0.658301158301	0.363979848866	0.572898799314	0.453608247423	0.361073825503	0.309069212411	0.191598360656	0.412328767123	0.644913627639	0.688	0.678336980306	0.668817204301	0.699346405229	0.76376146789	0.556270096463	0.432203389831	0.544776119403	0.511494252874	0.776504297994	0.80829015544	0.397834912043	0.41416893733	0.389642416769	0.381077529566	0.452127659574	0.488706365503	0.622605363985	0.589437819421	0.458571428571	0.628	0.562647754137	0.584507042254	0.575107296137	0.586118251928	0.651006711409	0.589977220957	0.342857142857	0.464912280702	0.435279187817	0.726392251816	0.258205689278	0.300571428571	0.567796610169	0.670305676856	0.605042016807	0.598039215686	0.605752961083	0.731182795699	0.609800362976	0.724056603774	0.707635009311	0.857142857143	0.735772357724	0.748329621381	0.446227929374	0.420679886686
17	0.619246861925	0.651006711409	0.561818181818	0.757255936675	0.422839506173	0.408759124088	0.594594594595	0.351385390428	0.502572898799	0.428571428571	0.351677852349	0.306682577566	0.189549180328	0.371232876712	0.585412667946	0.746666666667	0.638949671772	0.651612903226	0.703703703704	0.720183486239	0.488745980707	0.427966101695	0.55223880597	0.475574712644	0.767908309456	0.753886010363	0.424898511502	0.381471389646	0.336621454994	0.35085413929	0.441489361702	0.482546201232	0.60153256705	0.50936967632	0.412857142857	0.538	0.553191489362	0.575117370892	0.547210300429	0.614395886889	0.634228187919	0.564920273349	0.331972789116	0.49649122807	0.388324873096	0.682808716707	0.251641137856	0.264	0.550847457627	0.646288209607	0.554621848739	0.566993464052	0.516074450085	0.694623655914	0.584392014519	0.693396226415	0.670391061453	0.831746031746	0.768292682927	0.699331848552	0.436597110754	0.378186968839
18	0.600418410042	0.65548098434	0.536363636364	0.796833773087	0.387345679012	0.413138686131	0.540540540541	0.301007556675	0.452830188679	0.343151693667	0.312751677852	0.268496420048	0.213114754098	0.349315068493	0.550863723608	0.738666666667	0.621444201313	0.576344086022	0.660130718954	0.69495412844	0.479099678457	0.371468926554	0.52052238806	0.403735632184	0.74212034384	0.826424870466	0.346414073072	0.352861035422	0.329223181258	0.344283837057	0.400709219858	0.427104722793	0.54214559387	0.528109028961	0.401428571429	0.564	0.633569739953	0.570422535211	0.540772532189	0.539845758355	0.637583892617	0.53986332574	0.27619047619	0.442105263158	0.342639593909	0.677966101695	0.239606126915	0.249142857143	0.557627118644	0.637554585153	0.527731092437	0.504901960784	0.516074450085	0.668817204301	0.5444646098	0.702830188679	0.59217877095	0.819047619048	0.79674796748	0.703786191537	0.401284109149	0.362606232295
19	0.575313807531	0.61744966443	0.478181818182	0.722955145119	0.384259259259	0.369343065693	0.53667953668	0.261964735516	0.420240137221	0.363770250368	0.291275167785	0.226730310263	0.202868852459	0.297260273973	0.520153550864	0.688	0.634573304158	0.576344086022	0.651416122004	0.646788990826	0.409967845659	0.358757062147	0.481343283582	0.372126436782	0.716332378223	0.738341968912	0.307171853857	0.340599455041	0.32552404439	0.314060446781	0.368794326241	0.431211498973	0.540229885057	0.461669505963	0.365714285714	0.514	0.51536643026	0.532863849765	0.512875536481	0.547557840617	0.627516778523	0.496583143508	0.300680272109	0.368421052632	0.335025380711	0.646489104116	0.225382932166	0.245714285714	0.48813559322	0.615720524017	0.463865546218	0.467320261438	0.467005076142	0.651612903226	0.500907441016	0.698113207547	0.586592178771	0.834920634921	0.760162601626	0.641425389755	0.385232744783	0.348441926346
20	0.585774058577	0.568232662192	0.478181818182	0.733509234828	0.322530864198	0.337226277372	0.480694980695	0.25314861461	0.391080617496	0.346097201767	0.28322147651	0.247016706444	0.175204918033	0.283561643836	0.518234165067	0.624	0.571115973742	0.561290322581	0.596949891068	0.628440366972	0.405144694534	0.310734463277	0.507462686567	0.336206896552	0.716332378223	0.709844559585	0.320703653586	0.305177111717	0.289765721332	0.307490144547	0.391843971631	0.418891170431	0.498084291188	0.453151618399	0.377142857143	0.548	0.48463356974	0.523474178404	0.491416309013	0.539845758355	0.604026845638	0.5284738041	0.299319727891	0.389473684211	0.286802030457	0.634382566586	0.201312910284	0.210285714286	0.471186440678	0.615720524017	0.463865546218	0.410130718954	0.441624365482	0.638709677419	0.484573502722	0.643867924528	0.508379888268	0.815873015873	0.747967479675	0.619153674833	0.3772070626	0.297450424929
